listing_id,date
6983,2009-09-04
6983,2009-09-07
6983,2009-09-28
6983,2009-12-17
6983,2010-01-04
6983,2010-04-05
6983,2010-05-08
6983,2010-06-10
6983,2010-06-18
6983,2010-06-23
6983,2012-04-02
6983,2012-04-15
6983,2012-04-21
6983,2012-04-25
6983,2012-05-23
6983,2012-05-27
6983,2012-07-02
6983,2012-11-12
6983,2012-11-16
6983,2012-11-18
6983,2012-11-27
6983,2012-12-25
6983,2013-01-02
6983,2013-01-12
6983,2013-01-26
6983,2013-03-01
6983,2014-06-01
6983,2014-06-03
6983,2014-06-12
6983,2014-06-17
6983,2014-06-20
6983,2014-06-23
6983,2014-07-12
6983,2014-08-04
6983,2014-08-07
6983,2014-08-09
6983,2014-08-24
6983,2014-08-26
6983,2014-08-30
6983,2014-09-05
6983,2014-09-08
6983,2014-09-29
6983,2014-10-20
6983,2014-11-13
6983,2016-01-03
6983,2016-01-26
6983,2016-03-04
6983,2016-04-19
6983,2016-05-16
6983,2016-06-12
6983,2016-07-03
6983,2016-07-08
6983,2016-07-11
6983,2016-07-28
6983,2016-08-04
6983,2016-09-06
6983,2016-09-16
6983,2016-09-18
6983,2016-09-21
6983,2016-09-24
6983,2016-09-30
6983,2016-10-05
6983,2016-10-08
6983,2016-10-11
6983,2016-10-13
6983,2016-10-19
6983,2016-10-23
6983,2016-10-28
6983,2016-10-30
6983,2016-11-02
6983,2016-11-06
6983,2016-11-18
6983,2016-11-21
6983,2016-11-28
6983,2016-12-13
6983,2016-12-30
6983,2017-01-07
6983,2017-03-12
6983,2017-03-15
6983,2017-03-29
6983,2017-04-07
6983,2017-04-28
6983,2017-05-01
6983,2017-05-05
6983,2017-05-09
6983,2017-05-14
6983,2017-05-17
6983,2017-05-21
6983,2017-05-24
6983,2017-06-02
6983,2017-06-05
6983,2017-06-10
6983,2017-06-12
6983,2017-06-27
6983,2017-06-29
6983,2017-07-05
6983,2017-07-07
6983,2017-07-12
6983,2017-08-06
6983,2017-08-09
6983,2017-08-19
6983,2017-08-23
6983,2017-08-25
6983,2017-08-28
6983,2017-09-07
6983,2017-09-15
